latitude,longitude,class
33.283557,35.552795,0
33.283493,35.552445,0
33.283577,35.552873,0
33.283653,35.553273,0
33.283615,35.552771,0
33.282844,35.553071,0
33.283018,35.552515,0
33.282811,35.55299,0
33.284789,35.547356,0
33.28506,35.547698,0
33.285063,35.547266,0
33.284776,35.547513,0
33.284434,35.547986,0
33.284737,35.547371,0
33.284427,35.547946,0
33.284423,35.547173,0
33.285122,35.547971,0
33.284623,35.547594,0
33.284481,35.546996,0
33.282695,35.549675,0
33.282789,35.549821,0
33.283145,35.550338,0
33.282464,35.550423,0
33.283238,35.550027,0
33.2829,35.550626,0
33.283405,35.550036,0
33.282826,35.550426,0
33.287705,35.545453,0
33.28695,35.545413,0
33.287268,35.545824,0
33.287406,35.54507,0
33.287635,35.545512,0
33.286875,35.545633,0
33.285426,35.548996,0
33.285291,35.549437,0
33.284945,35.549433,0
33.2854,35.549573,0
33.284995,35.549108,0
33.284936,35.549366,0
33.284673,35.549821,0
33.28472,35.549413,0
33.285006,35.549359,0
33.285153,35.549071,0
33.28549,35.5493,0
33.285207,35.549794,0
33.281439,35.550376,0
33.281532,35.550845,0
33.281794,35.550735,0
33.281924,35.551037,0
33.281746,35.550259,0
33.281888,35.550792,0
33.281681,35.550295,0
33.281765,35.550415,0
33.281562,35.550865,0
33.279465,35.548657,0
33.279501,35.54854,0
33.27906,35.548107,0
33.279041,35.548538,0
33.279442,35.548619,0
33.278995,35.548983,0
33.27947,35.548337,0
33.279628,35.548258,0
33.278892,35.548569,0
33.279121,35.548761,0
33.279186,35.548366,0
33.286258,35.547265,1
33.286218,35.547578,1
33.2862,35.547357,1
33.285691,35.547126,1
33.28652,35.547383,1
33.286084,35.547445,1
33.286147,35.5473,1
33.286673,35.550294,1
33.286441,35.550552,1
33.287035,35.550013,1
33.286648,35.550308,1
33.286339,35.549801,1
33.286885,35.550247,1
33.287016,35.549926,1
33.287039,35.5496,1
